id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48766009,One bedroom with Private shower-basement setting,388555843,Kevin,Westmorland,Moncton,46.11355,-64.85098,Private room,88,1,0,,,1,180,0,
48766029,Little Oak Hive and Forest Spa,70505768,Erin And Clinton,Albert,Harvey,45.7304,-64.67579,Entire home/apt,225,2,50,2022-03-12,7.39,2,113,50,
48767950,Sunsets overlooking Bouctouche Bay,23141767,Fernand,Kent,Wellington,46.46614,-64.67134,Entire home/apt,230,7,0,,,1,114,0,
48769164,Relaxing couples retreat with large  jacuzzi tub,320947884,Lisa,Charlotte,Saint George,45.12339,-66.81838,Entire home/apt,149,2,18,2022-03-13,2.58,4,72,18,
48784896,"Riverview Guesthouse ""The Loft""",59816414,Leslie,Charlotte,Saint George,45.13652,-66.82237,Entire home/apt,90,2,51,2022-03-25,4.32,1,149,51,
48805994,Private House - 4 bedrooms - Nonshared,70124460,Valéria,Westmorland,Moncton,46.09315,-64.79438,Entire home/apt,116,2,6,2022-03-26,0.53,2,4,6,
48811514,Modern Living Facility,393757454,Randy,Victoria,Gordon,46.89146,-67.39859,Entire home/apt,167,1,12,2022-03-06,1.33,1,135,12,
48829374,PARLEE BEACH SLEEPS 10 WITH BUNK HOUSE,393863509,Jordan,Westmorland,Shediac,46.23644,-64.51441,Entire home/apt,220,3,10,2021-09-06,1.13,2,25,10,
48861054,Sunny Angelview Townhouse,76949637,John,York,Fredericton,45.96564,-66.69186,Entire home/apt,100,3,11,2022-01-17,1.03,1,20,11,
48862287,Amazing apartament in the heart of Moncton !,89170609,Mike,Westmorland,Moncton,46.09991,-64.796,Entire home/apt,56,6,4,2022-02-16,0.96,1,344,4,
48868265,Entire Family Bubble Beach House,330071567,Patrick,Kent,Dundas,46.34591,-64.57149,Entire home/apt,357,2,12,2021-08-22,1.24,2,170,12,
48894665,Unique Cordwood Country Home,56591770,Wanda,Charlotte,Saint David,45.2391,-67.19227,Entire home/apt,205,1,29,2022-03-06,2.81,2,50,29,
48899161,Private Beach! Entire Cottage.,225543619,Susan,Kent,Weldford,46.52572,-65.06105,Entire home/apt,200,4,0,,,2,237,0,
48907936,Ocean Bay Escape - St. Andrews Beach Home,43631561,Brianne,Charlotte,Saint Andrews,45.13574,-67.03671,Entire home/apt,276,2,26,2022-03-27,2.86,1,175,26,
48920151,Charming privet Bedroom with Smart Tv,220303536,Zion-Inn,Saint John,City of Saint John,45.25977,-66.07009,Private room,100,1,11,2021-10-27,0.91,16,271,11,
48927264,"Private, cozy, non shared, 1.3km from NBCC",217958381,Rafael,Westmorland,Moncton,46.10137,-64.82017,Entire home/apt,119,1,2,2021-08-11,0.25,48,0,2,
48927279,"Private, cozy, non shared, 1.3km from NBCC",217958381,Rafael,Westmorland,Moncton,46.1026,-64.82156,Entire home/apt,85,1,4,2021-08-08,0.47,48,0,4,
48927481,"Private, cozy, non shared, 1.2km from NBCC",217958381,Rafael,Westmorland,Moncton,46.10279,-64.8216,Entire home/apt,74,1,8,2021-08-12,0.78,48,0,8,
48928128,Executive Uptown Apartment,394649880,Melissa,York,Fredericton,45.93187,-66.64463,Entire home/apt,106,7,17,2022-03-04,1.50,1,116,17,
48928856,"Private,Clean,Cozy 3 bedroom apart500m to Hospital",217958381,Rafael,Westmorland,Moncton,46.10863,-64.80279,Entire home/apt,88,1,2,2021-07-25,0.22,48,0,2,
48931700,Family home in quiet neighbourhood in Riverview,394673054,Pauline,Albert,Coverdale,46.05639,-64.81227,Entire home/apt,175,7,2,2021-08-10,0.24,1,44,2,
48941381,"Waterfront, four season, 2-BR in Shediac!",242123587,Virginia,Westmorland,Shediac,46.21571,-64.56125,Entire home/apt,295,1,4,2021-12-13,0.50,1,247,4,
48942456,TLC by the Sea – Cottage Oasis by Parlee Beach,38275917,Lauren,Westmorland,Shediac,46.23652,-64.51666,Entire home/apt,200,5,8,2021-09-21,0.97,1,291,8,
48974281,Belliveau Beach Corner Cottage,394987112,Matt,Westmorland,Shediac,46.23623,-64.50577,Entire home/apt,200,7,0,,,3,244,0,
48977302,Beach house on the bay,218499322,Kathleen,Kent,Dundas,46.33953,-64.61583,Entire home/apt,360,7,4,2021-09-17,0.45,1,243,4,
48979292,The Perfect Escape Boutique Rental,98927491,Jenny,Charlotte,Grand Manan,44.6999,-66.74571,Entire home/apt,150,2,36,2022-03-10,3.91,1,183,36,
48991565,On The Pond- 20 Minutes to St Andrews-By-The-Sea,56591770,Wanda,Charlotte,Saint David,45.23912,-67.19429,Entire home/apt,185,2,6,2021-12-03,0.69,2,96,6,
48995017,Belliveau Beach Bunkie House,394987112,Matt,Westmorland,Shediac,46.23758,-64.50526,Entire home/apt,115,7,2,2021-08-16,0.26,3,272,2,
49010772,Adventurer's Base Camp,103498897,Robyn,Kings,Waterford,45.68976,-65.42294,Entire home/apt,157,1,16,2022-03-17,1.76,1,309,16,
49013796,"Oceanfront 1 Bdrm Suite with Firepit, BBQ & wifi",395270684,Leta,Charlotte,Grand Manan,44.68516,-66.77416,Entire home/apt,112,1,6,2022-02-27,0.75,2,194,6,
