id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44278689,Sonder The Wellesley | Superior Queen Room,301014754,Sonder (Toronto),,Church-Yonge Corridor,43.66582,-79.3818,Private room,210,2,23,2022-01-17,1.19,28,350,9,Approved by government
44279148,Artist’s studio in Toronto’s historic Corktown,20823648,Pohan,,Moss Park,43.655792,-79.358246,Entire home/apt,147,2,45,2022-03-03,6.92,1,73,45,STR-2012-HLQPHK
44280696,Bedroom (M2) Near York U and Finch West Subway Stn,128852883,Elsa,,York University Heights,43.75582,-79.4923,Private room,35,28,0,,,4,66,0,STR-2009-FFXRPB
44283677,Rose Cozy Private Bedroom at Scarborough,64829538,Mohammed,,Scarborough Village,43.74557,-79.21677,Private room,40,2,4,2020-09-17,0.21,2,326,0,STR-2010-FZSXPD
44291503,Single Bed Shared Room In Uptown Toronto,357100621,Julieta,,Rustic,43.71163,-79.49172,Shared room,40,28,0,,,1,365,0,
44293159,1BR in Little Italy Victorian Home,1892725,Stuart,,Trinity-Bellwoods,43.65261,-79.42182,Private room,58,5,6,2021-11-18,0.31,2,0,3,STR-2009-GDRRPF
44294505,Entertainment District: Clean Studio in Downtown,12656369,Shuyan,,Waterfront Communities-The Island,43.64407,-79.39203,Entire home/apt,75,28,6,2021-09-17,0.32,1,201,3,
44302552,⭐️Downtown•Modern•Bright•Steps to Shangri-La Hotel⭐️,352985140,Ivana,,Waterfront Communities-The Island,43.64866,-79.38765,Entire home/apt,177,30,27,2020-11-07,1.44,1,126,0,
44304470,Toronto Dowtown Loft,3675376,Chuan,,North St.James Town,43.66749,-79.37845,Entire home/apt,98,28,2,2020-11-22,0.11,1,11,0,
44306066,Leslieville Loft,357300944,Erin,,South Riverdale,43.66222,-79.33991,Entire home/apt,350,30,0,,,1,156,0,
44306828,bright bellwoods studio apartment,1825805,Jynessa,,Trinity-Bellwoods,43.65166,-79.41302,Entire home/apt,85,28,1,2020-08-16,0.05,1,0,0,
44307957,Hello sun cozy ensuite master bedroom A,338986359,Jinsheng,,Casa Loma,43.67689,-79.41585,Private room,89,28,0,,,1,365,0,
44308276,Brand New Unit in the Best Location/Downtown Core,109180103,Ge,,Waterfront Communities-The Island,43.6467,-79.39309,Private room,162,1,81,2021-12-31,4.23,18,110,55,STR-2012-JCSXVM
44315884,Sonder The Wellesley | Spacious Queen Room,301014754,Sonder (Toronto),,Church-Yonge Corridor,43.66397,-79.3836,Private room,229,2,5,2022-01-09,0.26,28,355,2,Approved by government
44318739,*Lakeshore  1 Plus Den (4 adults) Modern Downtown*,23856711,Vedo,,Mimico (includes Humber Bay Shores),43.62475,-79.48047,Entire home/apt,143,3,6,2020-11-09,0.31,1,309,0,STR-2010-HTBDPL
44319538,Cozy Shared Bedroom for Girls,97767256,Karla,,Caledonia-Fairbank,43.68477,-79.44805,Private room,32,28,2,2021-10-03,0.11,4,365,1,
