id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51411635,Condo rénové nearby all services et le vieux Qc!,28754730,Julie,,Vieux-Limoilou,46.82212,-71.22221,Entire home/apt,66,30,3,2021-12-09,0.57,6,297,3,
51428017,Le Alexis ♫ Stay at the ♥ of the city!,23548729,Jennifer,,Saint-Roch,46.81364,-71.22777,Entire home/apt,130,32,6,2021-12-29,1.40,3,201,6,305262
51444424,BIG Room. near Universite laval. BEST LOCATION,278453818,Alex Et Sophia,,Saint-Sacrement,46.78976,-71.25237,Private room,200,31,0,,,2,90,0,
51449203,Lovely 3Bedroom OLD QUEBEC - Elevator *281573*,409939097,Maude,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8148,-71.20735,Entire home/apt,286,2,18,2022-03-03,2.67,3,181,18,281573
51449247,MAGNIFIQUE appartement au coeur du Vieux-Québec,270269526,Marie-Pierre,,Saint-Jean-Baptiste,46.80819,-71.22453,Entire home/apt,104,2,26,2022-02-20,3.64,1,8,26,
51451261,Chambre confortable privée!Emplacement excellent,278453818,Alex Et Sophia,,Sillery,46.78913,-71.25226,Private room,79,31,0,,,2,203,0,
51462293,"Loft de LUXE @ Ste-Foy, à l'entrée des ponts",206157337,André,,Saint-Louis,46.77278,-71.29867,Entire home/apt,54,40,0,,,19,251,0,
51471008,𝟏𝟎𝐦 𝔻𝕋★𝐄𝐧𝐭𝐢𝐫𝐞 𝙡𝙤𝙛𝙩 𝙗𝙖𝙡𝙘𝙤𝙣𝙮 𝙠𝙞𝙩𝙘𝙝𝙚𝙣 𝙬𝙞𝙛𝙞 𝙧𝙤𝙠𝙪 𝙛𝙧𝙚𝙚ℙ,239693682,Alyson,,Maizerets,46.84064,-71.22469,Entire home/apt,86,1,40,2022-03-06,6.49,1,58,40,
51471809,INITIAL | MEMORY FACTORY | Centre-Ville de Québec,19909639,Louis,,Saint-Roch,46.81467,-71.22509,Entire home/apt,120,1,48,2022-03-03,6.70,29,264,48,
51472472,"#616 Small and Beautiful, Spacious, Gourmet Kitchen, Balcony & More",195649860,Claude,,Saint-Louis,46.77191,-71.29952,Entire home/apt,55,1,2,2021-12-18,0.35,25,251,2,
51482935,Le 101,57453298,Richard,,Saint-Sauveur,46.81046,-71.2323,Entire home/apt,80,1,33,2022-03-06,4.83,7,339,33,
51483183,Le 102,57453298,Richard,,Saint-Sauveur,46.8115,-71.23241,Entire home/apt,80,1,24,2022-02-13,3.51,7,300,24,
51483328,Le 103,57453298,Richard,,Saint-Roch,46.81187,-71.2306,Entire home/apt,80,1,33,2022-02-13,4.88,7,357,33,
51483440,Le 201,57453298,Richard,,Saint-Sauveur,46.81007,-71.23095,Entire home/apt,80,1,40,2022-03-08,5.69,7,343,40,
51483582,Le 202,57453298,Richard,,Saint-Sauveur,46.8122,-71.23278,Entire home/apt,80,1,52,2022-03-04,7.46,7,242,52,
51483682,Le 203,57453298,Richard,,Saint-Sauveur,46.81227,-71.23216,Entire home/apt,80,1,35,2022-03-07,5.10,7,267,35,
51483995,Le 302,57453298,Richard,,Saint-Sauveur,46.81182,-71.23241,Entire home/apt,80,1,38,2022-02-20,5.56,7,333,38,
51484594,"#610 - Nice 2 Bedrooms, Parking in Limoilou",195649860,Claude,,Vieux-Limoilou,46.8231,-71.22081,Entire home/apt,68,1,0,,,25,159,0,
51493583,Private access bedroom Moroccan style,8343230,Tahar,,Saint-Roch,46.81448,-71.22972,Private room,85,1,31,2022-02-27,4.60,1,359,31,306477
51524581,BELLE ET GRANDE CHAMBRE . 31 jours+ QUEBEC CENTRE,41108701,Fred & Maya,,Saint-Sacrement,46.7904,-71.25237,Private room,38,31,1,2021-12-20,0.37,2,209,1,
51539413,Philosopher room in a B&B with free car parking,409470834,Guitta,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8119,-71.20951,Private room,135,1,26,2022-02-20,3.75,3,90,26,
